cross_section,scenario,eta_ch,n_alpha_over_ne0,tau,Ti_opt,Pnet_Pbrems_variant_i,Pnet_Pbrems_variant_ii
wang,optimistic,0.000,0.0050,0.40,320,-0.0231,-0.6617
wang,optimistic,0.050,0.0050,0.40,320,-0.0272,-0.6369
wang,optimistic,0.100,0.0050,0.40,320,-0.0313,-0.6120
wang,optimistic,0.150,0.0050,0.40,320,-0.0353,-0.5872
wang,optimistic,0.200,0.0050,0.40,320,-0.0394,-0.5623
wang,optimistic,0.250,0.0050,0.40,320,-0.0435,-0.5375
wang,optimistic,0.300,0.0050,0.40,340,-0.0468,-0.5126
wang,optimistic,0.350,0.0050,0.40,380,-0.0454,-0.4878
wang,optimistic,0.400,0.0050,0.40,500,-0.0334,-0.4629
wang,optimistic,0.450,0.0050,0.40,500,-0.0085,-0.4381
wang,optimistic,0.500,0.0050,0.40,500,0.0163,-0.4132
wang,optimistic,0.550,0.0050,0.40,500,0.0412,-0.3884
wang,optimistic,0.600,0.0050,0.40,500,0.0660,-0.3635
wang,optimistic,0.650,0.0050,0.40,500,0.0909,-0.3387
wang,optimistic,0.700,0.0050,0.40,500,0.1157,-0.3138
wang,optimistic,0.750,0.0050,0.40,500,0.1406,-0.2890
wang,optimistic,0.800,0.0050,0.40,500,0.1654,-0.2641
wang,optimistic,0.850,0.0050,0.40,500,0.1903,-0.2393
wang,optimistic,0.900,0.0050,0.40,500,0.2151,-0.2144
wang,optimistic,0.950,0.0050,0.40,500,0.2400,-0.1896
wang,optimistic,1.000,0.0050,0.40,500,0.2648,-0.1647
wang,optimistic,0.000,0.0060,0.40,320,-0.0264,-0.6628
wang,optimistic,0.050,0.0060,0.40,320,-0.0305,-0.6382
wang,optimistic,0.100,0.0060,0.40,320,-0.0346,-0.6135
wang,optimistic,0.150,0.0060,0.40,320,-0.0388,-0.5889
wang,optimistic,0.200,0.0060,0.40,320,-0.0429,-0.5642
wang,optimistic,0.250,0.0060,0.40,320,-0.0470,-0.5396
wang,optimistic,0.300,0.0060,0.40,340,-0.0505,-0.5149
wang,optimistic,0.350,0.0060,0.40,380,-0.0492,-0.4902
wang,optimistic,0.400,0.0060,0.40,500,-0.0375,-0.4656
wang,optimistic,0.450,0.0060,0.40,500,-0.0128,-0.4409
wang,optimistic,0.500,0.0060,0.40,500,0.0118,-0.4163
wang,optimistic,0.550,0.0060,0.40,500,0.0365,-0.3916
wang,optimistic,0.600,0.0060,0.40,500,0.0611,-0.3670
wang,optimistic,0.650,0.0060,0.40,500,0.0858,-0.3423
wang,optimistic,0.700,0.0060,0.40,500,0.1104,-0.3177
wang,optimistic,0.750,0.0060,0.40,500,0.1351,-0.2930
wang,optimistic,0.800,0.0060,0.40,500,0.1597,-0.2683
wang,optimistic,0.850,0.0060,0.40,500,0.1844,-0.2437
wang,optimistic,0.900,0.0060,0.40,500,0.2091,-0.2190
wang,optimistic,0.950,0.0060,0.40,500,0.2337,-0.1944
wang,optimistic,1.000,0.0060,0.40,500,0.2584,-0.1697
wang,optimistic,0.000,0.0071,0.40,320,-0.0302,-0.6642
wang,optimistic,0.050,0.0071,0.40,320,-0.0344,-0.6398
wang,optimistic,0.100,0.0071,0.40,320,-0.0386,-0.6153
wang,optimistic,0.150,0.0071,0.40,320,-0.0428,-0.5909
wang,optimistic,0.200,0.0071,0.40,320,-0.0470,-0.5665
wang,optimistic,0.250,0.0071,0.40,320,-0.0512,-0.5420
wang,optimistic,0.300,0.0071,0.40,340,-0.0548,-0.5176
wang,optimistic,0.350,0.0071,0.40,380,-0.0537,-0.4932
wang,optimistic,0.400,0.0071,0.40,500,-0.0424,-0.4688
wang,optimistic,0.450,0.0071,0.40,500,-0.0180,-0.4443
wang,optimistic,0.500,0.0071,0.40,500,0.0065,-0.4199
wang,optimistic,0.550,0.0071,0.40,500,0.0309,-0.3955
wang,optimistic,0.600,0.0071,0.40,500,0.0553,-0.3710
wang,optimistic,0.650,0.0071,0.40,500,0.0798,-0.3466
wang,optimistic,0.700,0.0071,0.40,500,0.1042,-0.3222
wang,optimistic,0.750,0.0071,0.40,500,0.1286,-0.2978
wang,optimistic,0.800,0.0071,0.40,500,0.1530,-0.2733
wang,optimistic,0.850,0.0071,0.40,500,0.1775,-0.2489
wang,optimistic,0.900,0.0071,0.40,500,0.2019,-0.2245
wang,optimistic,0.950,0.0071,0.40,500,0.2263,-0.2000
wang,optimistic,1.000,0.0071,0.40,500,0.2508,-0.1756
wang,optimistic,0.000,0.0085,0.40,320,-0.0348,-0.6658
wang,optimistic,0.050,0.0085,0.40,320,-0.0391,-0.6416
wang,optimistic,0.100,0.0085,0.40,320,-0.0433,-0.6175
wang,optimistic,0.150,0.0085,0.40,320,-0.0476,-0.5933
wang,optimistic,0.200,0.0085,0.40,300,-0.0507,-0.5691
wang,optimistic,0.250,0.0085,0.40,320,-0.0562,-0.5450
wang,optimistic,0.300,0.0085,0.40,340,-0.0599,-0.5208
wang,optimistic,0.350,0.0085,0.40,360,-0.0589,-0.4967
wang,optimistic,0.400,0.0085,0.40,500,-0.0482,-0.4725
wang,optimistic,0.450,0.0085,0.40,500,-0.0240,-0.4483
wang,optimistic,0.500,0.0085,0.40,500,0.0002,-0.4242
wang,optimistic,0.550,0.0085,0.40,500,0.0243,-0.4000
wang,optimistic,0.600,0.0085,0.40,500,0.0485,-0.3759
wang,optimistic,0.650,0.0085,0.40,500,0.0726,-0.3517
wang,optimistic,0.700,0.0085,0.40,500,0.0968,-0.3275
wang,optimistic,0.750,0.0085,0.40,500,0.1210,-0.3034
wang,optimistic,0.800,0.0085,0.40,500,0.1451,-0.2792
wang,optimistic,0.850,0.0085,0.40,500,0.1693,-0.2551
wang,optimistic,0.900,0.0085,0.40,500,0.1935,-0.2309
wang,optimistic,0.950,0.0085,0.40,500,0.2176,-0.2067
wang,optimistic,1.000,0.0085,0.40,500,0.2418,-0.1826
wang,optimistic,0.000,0.0101,0.40,320,-0.0402,-0.6677
wang,optimistic,0.050,0.0101,0.40,320,-0.0445,-0.6438
wang,optimistic,0.100,0.0101,0.40,320,-0.0489,-0.6200
wang,optimistic,0.150,0.0101,0.40,300,-0.0512,-0.5961
wang,optimistic,0.200,0.0101,0.40,300,-0.0545,-0.5723
wang,optimistic,0.250,0.0101,0.40,320,-0.0620,-0.5485
wang,optimistic,0.300,0.0101,0.40,340,-0.0659,-0.5246
wang,optimistic,0.350,0.0101,0.40,360,-0.0652,-0.5008
wang,optimistic,0.400,0.0101,0.40,500,-0.0550,-0.4769
