cross_section,p,n_alpha_over_ne,F_scale,enh,group_spread
wang,0.0300,0.0300,1.000,1.29504883,0.00e+00
wang,0.0300,0.0600,0.500,1.29504883,0.00e+00
wang,0.0300,0.0150,2.000,1.29504883,0.00e+00
wang,0.0300,0.1200,0.250,1.29504883,0.00e+00
wang,0.0400,0.0400,1.000,1.40899074,0.00e+00
wang,0.0400,0.0200,2.000,1.40899074,0.00e+00
wang,0.0400,0.0800,0.500,1.40899074,0.00e+00
wang,0.0600,0.0600,1.000,1.59276523,0.00e+00
wang,0.0600,0.1200,0.500,1.59276523,0.00e+00
wang,0.0600,0.0300,2.000,1.59276523,0.00e+00
wang,0.0600,0.2400,0.250,1.59276523,0.00e+00
TB,0.0300,0.0300,1.000,1.30777272,0.00e+00
TB,0.0300,0.0600,0.500,1.30777272,0.00e+00
TB,0.0300,0.0150,2.000,1.30777272,0.00e+00
TB,0.0300,0.1200,0.250,1.30777272,0.00e+00
TB,0.0400,0.0400,1.000,1.42292672,0.00e+00
TB,0.0400,0.0200,2.000,1.42292672,0.00e+00
TB,0.0400,0.0800,0.500,1.42292672,0.00e+00
TB,0.0600,0.0600,1.000,1.60508374,0.00e+00
TB,0.0600,0.1200,0.500,1.60508374,0.00e+00
TB,0.0600,0.0300,2.000,1.60508374,0.00e+00
TB,0.0600,0.2400,0.250,1.60508374,0.00e+00
