cross_section,p,kinetic_peak_PF_PB,peak_Ti_keV
wang,0.00000,0.93279,415.0
wang,0.00010,0.93324,415.0
wang,0.00015,0.93347,415.0
wang,0.00023,0.93381,415.0
wang,0.00034,0.93432,415.0
wang,0.00051,0.93508,415.0
wang,0.00076,0.93623,415.0
wang,0.00115,0.93794,415.0
wang,0.00172,0.94062,390.0
wang,0.00258,0.94491,390.0
wang,0.00387,0.95126,390.0
wang,0.00582,0.96058,390.0
wang,0.00873,0.97571,365.0
wang,0.01311,0.99888,340.0
wang,0.01968,1.03646,315.0
wang,0.02955,1.09979,265.0
wang,0.04437,1.21058,190.0
wang,0.06661,1.40611,140.0
wang,0.10000,1.67231,140.0
TB,0.00000,1.11445,415.0
TB,0.00010,1.11494,415.0
TB,0.00015,1.11518,415.0
TB,0.00023,1.11555,415.0
TB,0.00034,1.11611,415.0
TB,0.00051,1.11693,415.0
TB,0.00076,1.11817,415.0
TB,0.00115,1.12008,390.0
TB,0.00172,1.12330,390.0
TB,0.00258,1.12807,390.0
TB,0.00387,1.13509,390.0
TB,0.00582,1.14559,365.0
TB,0.00873,1.16279,365.0
TB,0.01311,1.18953,340.0
TB,0.01968,1.23306,290.0
TB,0.02955,1.30865,240.0
TB,0.04437,1.44166,190.0
TB,0.06661,1.68217,140.0
TB,0.10000,1.99863,140.0
