T_keV,sv_TB,sv_Wang,sv_NS,ratio_TB_Wang,ratio_TB_NS,ratio_Wang_NS
50,5.8538e-18,5.6235e-18,5.6203e-18,1.0410,1.0415,1.0006
100,7.0347e-17,6.2770e-17,6.2987e-17,1.1207,1.1169,0.9965
150,1.8608e-16,1.5949e-16,1.6007e-16,1.1667,1.1625,0.9964
200,2.9475e-16,2.4764e-16,2.4710e-16,1.1903,1.1928,1.0022
250,3.7766e-16,3.1430e-16,3.0995e-16,1.2016,1.2185,1.0141
300,4.3739e-16,3.6281e-16,3.5159e-16,1.2056,1.2440,1.0319
350,4.8064e-16,3.9894e-16,3.7797e-16,1.2048,1.2716,1.0555
400,5.1317e-16,4.2736e-16,3.9409e-16,1.2008,1.3022,1.0844
450,5.3894e-16,4.5121e-16,4.0348e-16,1.1944,1.3357,1.1183
500,5.6042e-16,4.7243e-16,4.0845e-16,1.1862,1.3721,1.1567
550,5.7906e-16,4.9215e-16,4.1048e-16,1.1766,1.4107,1.1990
600,5.9567e-16,5.1092e-16,4.1052e-16,1.1659,1.4510,1.2446
