cross_section,Ti_keV,Te_keV,P_F_W_cm3,P_B_W_cm3,PF_over_PB
TB,100,60.45,1.2475e-01,3.6704e-01,0.33988
TB,110,64.70,1.6259e-01,3.8531e-01,0.42199
TB,120,68.93,2.0307e-01,4.0357e-01,0.50318
TB,130,73.00,2.4506e-01,4.2118e-01,0.58184
TB,140,76.92,2.8763e-01,4.3826e-01,0.65629
TB,150,80.70,3.2999e-01,4.5485e-01,0.72549
TB,160,84.35,3.7155e-01,4.7096e-01,0.78890
TB,170,87.80,4.1185e-01,4.8631e-01,0.84689
TB,180,91.16,4.5060e-01,5.0134e-01,0.89880
TB,190,94.65,4.8759e-01,5.1714e-01,0.94286
TB,200,97.80,5.2269e-01,5.3146e-01,0.98351
TB,210,100.84,5.5587e-01,5.4542e-01,1.01915
TB,220,103.70,5.8711e-01,5.5864e-01,1.05096
TB,230,106.58,6.1645e-01,5.7206e-01,1.07760
TB,240,109.35,6.4397e-01,5.8504e-01,1.10072
TB,250,112.03,6.6973e-01,5.9770e-01,1.12049
TB,260,114.63,6.9383e-01,6.1008e-01,1.13728
TB,270,117.15,7.1636e-01,6.2217e-01,1.15140
TB,280,119.60,7.3744e-01,6.3400e-01,1.16317
TB,290,121.98,7.5717e-01,6.4558e-01,1.17285
TB,300,124.30,7.7563e-01,6.5693e-01,1.18070
TB,310,126.56,7.9294e-01,6.6806e-01,1.18693
TB,320,128.77,8.0918e-01,6.7898e-01,1.19176
TB,330,130.92,8.2444e-01,6.8970e-01,1.19535
TB,340,133.02,8.3880e-01,7.0025e-01,1.19786
TB,350,135.07,8.5234e-01,7.1061e-01,1.19944
TB,360,137.04,8.6513e-01,7.2062e-01,1.20052
TB,370,139.01,8.7723e-01,7.3067e-01,1.20059
TB,380,140.93,8.8871e-01,7.4057e-01,1.20004
TB,390,142.82,8.9963e-01,7.5033e-01,1.19898
TB,400,144.68,9.1002e-01,7.5995e-01,1.19747
TB,410,146.50,9.1995e-01,7.6945e-01,1.19559
TB,420,148.28,9.2944e-01,7.7883e-01,1.19339
TB,430,150.04,9.3855e-01,7.8809e-01,1.19091
TB,440,151.77,9.4729e-01,7.9725e-01,1.18821
TB,450,153.46,9.5572e-01,8.0629e-01,1.18532
TB,460,155.14,9.6384e-01,8.1524e-01,1.18227
TB,470,156.78,9.7169e-01,8.2409e-01,1.17910
TB,480,158.40,9.7929e-01,8.3285e-01,1.17582
TB,490,160.00,9.8665e-01,8.4153e-01,1.17246
TB,500,161.57,9.9381e-01,8.5011e-01,1.16903
TB,510,163.12,1.0008e+00,8.5861e-01,1.16556
TB,520,164.65,1.0075e+00,8.6704e-01,1.16205
TB,530,166.16,1.0141e+00,8.7539e-01,1.15851
TB,540,167.65,1.0206e+00,8.8366e-01,1.15495
TB,550,169.12,1.0269e+00,8.9186e-01,1.15139
TB,560,170.58,1.0330e+00,8.9999e-01,1.14782
TB,570,172.01,1.0390e+00,9.0805e-01,1.14425
TB,580,173.43,1.0449e+00,9.1605e-01,1.14068
TB,590,174.83,1.0507e+00,9.2398e-01,1.13712
TB,600,176.25,1.0563e+00,9.3208e-01,1.13331
wang,100,60.29,1.1131e-01,3.6638e-01,0.30381
wang,110,64.48,1.4356e-01,3.8435e-01,0.37352
wang,120,68.64,1.7768e-01,4.0229e-01,0.44166
wang,130,72.63,2.1274e-01,4.1955e-01,0.50706
wang,140,76.46,2.4799e-01,4.3624e-01,0.56847
wang,150,80.15,2.8283e-01,4.5241e-01,0.62515
wang,160,83.71,3.1680e-01,4.6811e-01,0.67678
wang,170,87.11,3.4960e-01,4.8320e-01,0.72350
wang,180,90.37,3.8099e-01,4.9778e-01,0.76538
wang,190,93.53,4.1086e-01,5.1203e-01,0.80242
wang,200,96.84,4.3914e-01,5.2707e-01,0.83318
wang,210,99.82,4.6582e-01,5.4073e-01,0.86147
wang,220,102.54,4.9093e-01,5.5328e-01,0.88731
wang,230,105.39,5.1451e-01,5.6649e-01,0.90824
wang,240,108.10,5.3663e-01,5.7915e-01,0.92658
wang,250,110.72,5.5737e-01,5.9152e-01,0.94227
wang,260,113.27,5.7681e-01,6.0361e-01,0.95560
wang,270,115.75,5.9505e-01,6.1545e-01,0.96685
wang,280,118.16,6.1216e-01,6.2704e-01,0.97627
wang,290,120.51,6.2825e-01,6.3841e-01,0.98408
wang,300,122.80,6.4338e-01,6.4956e-01,0.99049
wang,310,125.03,6.5765e-01,6.6051e-01,0.99566
wang,320,127.21,6.7112e-01,6.7127e-01,0.99978
wang,330,129.34,6.8386e-01,6.8184e-01,1.00296
wang,340,131.42,6.9595e-01,6.9225e-01,1.00535
wang,350,133.46,7.0745e-01,7.0250e-01,1.00705
wang,360,135.46,7.1841e-01,7.1259e-01,1.00817
wang,370,137.37,7.2888e-01,7.2229e-01,1.00913
wang,380,139.29,7.3892e-01,7.3210e-01,1.00931
wang,390,141.17,7.4856e-01,7.4178e-01,1.00913
