cross_section,f_B,Ti_keV,PF_over_PB
TB,0.0500,150.0,0.62773
TB,0.0500,175.0,0.74638
TB,0.0500,200.0,0.83294
TB,0.0500,225.0,0.89272
TB,0.0500,250.0,0.93172
TB,0.0500,275.0,0.95603
TB,0.0500,300.0,0.96823
TB,0.0500,325.0,0.97156
TB,0.0500,350.0,0.97044
TB,0.0500,375.0,0.96561
TB,0.0500,400.0,0.95835
TB,0.0500,425.0,0.94957
TB,0.0500,450.0,0.93991
TB,0.0500,475.0,0.92980
TB,0.0500,500.0,0.91953
TB,0.0500,525.0,0.90928
TB,0.0500,550.0,0.89917
TB,0.0500,575.0,0.88927
TB,0.0500,600.0,0.87961
TB,0.0625,150.0,0.67758
TB,0.0625,175.0,0.80658
TB,0.0625,200.0,0.90156
TB,0.0625,225.0,0.96790
TB,0.0625,250.0,1.01174
TB,0.0625,275.0,1.03952
TB,0.0625,300.0,1.05423
TB,0.0625,325.0,1.06021
TB,0.0625,350.0,1.06010
TB,0.0625,375.0,1.05516
TB,0.0625,400.0,1.04828
TB,0.0625,425.0,1.03965
TB,0.0625,450.0,1.02997
TB,0.0625,475.0,1.01973
TB,0.0625,500.0,1.00925
TB,0.0625,525.0,0.99873
TB,0.0625,550.0,0.98831
TB,0.0625,575.0,0.97806
TB,0.0625,600.0,0.96803
TB,0.0750,150.0,0.70824
TB,0.0750,175.0,0.84638
TB,0.0750,200.0,0.94681
TB,0.0750,225.0,1.01797
TB,0.0750,250.0,1.06550
TB,0.0750,275.0,1.09530
TB,0.0750,300.0,1.11279
TB,0.0750,325.0,1.12032
TB,0.0750,350.0,1.12133
TB,0.0750,375.0,1.11789
TB,0.0750,400.0,1.11085
TB,0.0750,425.0,1.10258
TB,0.0750,450.0,1.09313
TB,0.0750,475.0,1.08301
TB,0.0750,500.0,1.07258
TB,0.0750,525.0,1.06206
TB,0.0750,550.0,1.05159
TB,0.0750,575.0,1.04126
TB,0.0750,600.0,1.03112
TB,0.0875,150.0,0.72738
TB,0.0875,175.0,0.86911
TB,0.0875,200.0,0.97528
TB,0.0875,225.0,1.04992
TB,0.0875,250.0,1.10023
TB,0.0875,275.0,1.13222
TB,0.0875,300.0,1.15136
TB,0.0875,325.0,1.16022
TB,0.0875,350.0,1.16228
TB,0.0875,375.0,1.15964
TB,0.0875,400.0,1.15383
TB,0.0875,425.0,1.14543
TB,0.0875,450.0,1.13633
TB,0.0875,475.0,1.12649
TB,0.0875,500.0,1.11627
TB,0.0875,525.0,1.10590
TB,0.0875,550.0,1.09555
TB,0.0875,575.0,1.08531
TB,0.0875,600.0,1.07522
TB,0.1000,150.0,0.73738
TB,0.1000,175.0,0.88266
TB,0.1000,200.0,0.99143
TB,0.1000,225.0,1.06854
TB,0.1000,250.0,1.12091
TB,0.1000,275.0,1.15459
TB,0.1000,300.0,1.17453
TB,0.1000,325.0,1.18507
TB,0.1000,350.0,1.18807
TB,0.1000,375.0,1.18620
TB,0.1000,400.0,1.18103
TB,0.1000,425.0,1.17368
TB,0.1000,450.0,1.16496
TB,0.1000,475.0,1.15500
TB,0.1000,500.0,1.14508
TB,0.1000,525.0,1.13497
TB,0.1000,550.0,1.12484
TB,0.1000,575.0,1.11478
TB,0.1000,600.0,1.10485
TB,0.1125,150.0,0.74071
TB,0.1125,175.0,0.88873
TB,0.1125,200.0,0.99881
TB,0.1125,225.0,1.07720
TB,0.1125,250.0,1.13105
TB,0.1125,275.0,1.16602
TB,0.1125,300.0,1.18708
TB,0.1125,325.0,1.19852
TB,0.1125,350.0,1.20235
TB,0.1125,375.0,1.20120
TB,0.1125,400.0,1.19665
TB,0.1125,425.0,1.18984
TB,0.1125,450.0,1.18159
TB,0.1125,475.0,1.17246
TB,0.1125,500.0,1.16246
TB,0.1125,525.0,1.15267
TB,0.1125,550.0,1.14281
TB,0.1125,575.0,1.13300
TB,0.1125,600.0,1.12330
TB,0.1250,150.0,0.73907
TB,0.1250,175.0,0.88792
TB,0.1250,200.0,0.99943
TB,0.1250,225.0,1.07832
TB,0.1250,250.0,1.13319
TB,0.1250,275.0,1.16912
TB,0.1250,300.0,1.19105
TB,0.1250,325.0,1.20285
TB,0.1250,350.0,1.20782
TB,0.1250,375.0,1.20732
TB,0.1250,400.0,1.20335
TB,0.1250,425.0,1.19707
TB,0.1250,450.0,1.18929
TB,0.1250,475.0,1.18059
TB,0.1250,500.0,1.17136
TB,0.1250,525.0,1.16188
TB,0.1250,550.0,1.15199
TB,0.1250,575.0,1.14247
TB,0.1250,600.0,1.13302
