Ti,tau,f_B,r_ash,eta_ch,f_tail,eta_drive,f_imp,xi_sync,Pnet_Pbrems
430.5551,0.3491,0.1487,0.0088,0.1717,0.3511,0.6392,0.0084,0.0514,0.0391
467.1054,0.3071,0.2295,0.0122,0.2213,0.5582,0.7045,0.0137,0.0355,0.0486
598.3954,0.4320,0.1593,0.0077,0.4969,0.5681,0.7363,0.0061,0.1317,0.1714
549.3204,0.7505,0.1723,0.0155,0.4525,0.5973,0.7697,0.0161,0.0113,0.0757
569.2192,0.5866,0.2678,0.0035,0.4378,0.5648,0.7965,0.0166,0.0290,0.0947
575.8324,0.9900,0.2495,0.0202,0.4881,0.5940,0.7085,0.0066,0.1137,0.0401
335.8000,0.3680,0.1948,0.0069,0.0053,0.4177,0.4215,0.0025,0.0177,0.0780
559.8367,0.5211,0.2353,0.0257,0.4647,0.5874,0.7605,0.0006,0.1427,0.0301
433.1715,0.5068,0.2556,0.0111,0.4204,0.5773,0.7512,0.0139,0.0295,0.0184
593.4550,0.6706,0.2171,0.0089,0.4562,0.5847,0.5411,0.0053,0.0796,0.0501
313.2678,0.4091,0.1156,0.0012,0.2190,0.3179,0.6849,0.0040,0.0114,0.0631
473.7798,0.3163,0.1555,0.0117,0.2611,0.3836,0.7926,0.0200,0.1075,0.0377
563.1321,0.4481,0.2721,0.0194,0.4176,0.5439,0.6611,0.0037,0.0004,0.0181
441.0050,0.4000,0.1630,0.0023,0.4998,0.3307,0.7877,0.0138,0.0728,0.0254
298.8441,0.4344,0.1249,0.0098,0.1190,0.1169,0.7990,0.0181,0.0417,0.0072
460.2316,0.3525,0.1473,0.0063,0.3935,0.5806,0.6874,0.0034,0.1330,0.0977
418.7375,0.3635,0.1217,0.0294,0.0567,0.4627,0.7740,0.0025,0.0141,0.0719
393.0887,0.3671,0.1070,0.0021,0.0749,0.1894,0.7231,0.0081,0.0406,0.0374
435.7685,0.3446,0.1543,0.0136,0.2888,0.4729,0.6718,0.0105,0.0628,0.0419
391.5693,0.3086,0.2298,0.0170,0.3544,0.5158,0.7313,0.0052,0.0002,0.0031
326.1128,0.4557,0.1235,0.0085,0.1683,0.5625,0.7004,0.0044,0.0015,0.0460
529.5674,0.3171,0.1594,0.0178,0.0249,0.2597,0.7752,0.0044,0.0395,0.0095
361.4679,0.3616,0.1819,0.0243,0.2313,0.4327,0.7260,0.0017,0.0347,0.0453
580.6532,0.4850,0.1979,0.0152,0.3466,0.5676,0.7817,0.0042,0.0563,0.0063
478.4289,0.3472,0.1102,0.0039,0.1495,0.4939,0.7587,0.0143,0.0005,0.1327
518.0906,0.7791,0.2251,0.0046,0.4864,0.5911,0.4496,0.0166,0.0055,0.0574
584.1701,0.3754,0.1814,0.0308,0.4031,0.5236,0.7674,0.0104,0.0179,0.0637
372.9593,0.3919,0.1046,0.0308,0.0657,0.1617,0.7324,0.0129,0.0069,0.0147
340.7033,0.4263,0.1172,0.0030,0.0527,0.3734,0.7833,0.0185,0.0509,0.0247
426.6185,0.4627,0.1709,0.0073,0.4256,0.5791,0.7721,0.0147,0.0643,0.0957
499.6515,0.3390,0.1921,0.0070,0.4731,0.5353,0.7691,0.0003,0.2162,0.1184
479.5542,0.5154,0.2365,0.0022,0.4808,0.5481,0.7265,0.0090,0.1597,0.0262
519.5223,0.3682,0.1669,0.0058,0.4668,0.5627,0.7542,0.0174,0.0647,0.1987
485.8519,0.3436,0.1068,0.0133,0.3413,0.3276,0.7709,0.0064,0.0269,0.0725
458.7496,0.5419,0.1368,0.0010,0.4589,0.5208,0.6804,0.0133,0.0082,0.0384
485.4092,0.3026,0.2783,0.0102,0.4779,0.5165,0.7446,0.0040,0.1308,0.0292
534.0473,0.3389,0.1674,0.0113,0.3167,0.3731,0.7121,0.0008,0.0340,0.0494
357.1555,0.3847,0.1898,0.0063,0.4229,0.3193,0.7915,0.0030,0.0388,0.0678
350.1767,0.4356,0.0698,0.0033,0.0773,0.2281,0.6595,0.0046,0.0094,0.0133
559.3747,0.9397,0.2478,0.0045,0.4680,0.5124,0.5880,0.0036,0.0178,0.0209
542.6622,0.8822,0.2571,0.0193,0.4560,0.5995,0.7507,0.0154,0.0449,0.0162
547.4904,0.3359,0.1444,0.0312,0.4114,0.5588,0.7843,0.0075,0.1500,0.0208
493.4119,0.4760,0.2441,0.0115,0.4702,0.5662,0.6942,0.0054,0.1120,0.0391
390.7233,0.3824,0.1187,0.0061,0.0001,0.1132,0.5169,0.0141,0.0841,0.0392
574.8113,0.3576,0.1491,0.0318,0.3581,0.5835,0.7282,0.0040,0.0101,0.0906
399.9951,0.3376,0.1398,0.0213,0.3990,0.5913,0.7546,0.0192,0.0092,0.0753
