Ti,tau,f_B,r_ash,eta_ch,f_tail,eta_drive,f_imp,xi_sync,Pnet_Pbrems
549.3204,0.7505,0.1723,0.0155,0.4525,0.5973,0.7697,0.0161,0.0113,0.0480
569.2192,0.5866,0.2678,0.0035,0.4378,0.5648,0.7965,0.0166,0.0290,0.0280
575.8324,0.9900,0.2495,0.0202,0.4881,0.5940,0.7085,0.0066,0.1137,0.0396
593.4550,0.6706,0.2171,0.0089,0.4562,0.5847,0.5411,0.0053,0.0796,0.0105
518.0906,0.7791,0.2251,0.0046,0.4864,0.5911,0.4496,0.0166,0.0055,0.0357
559.3747,0.9397,0.2478,0.0045,0.4680,0.5124,0.5880,0.0036,0.0178,0.0177
542.6622,0.8822,0.2571,0.0193,0.4560,0.5995,0.7507,0.0154,0.0449,0.0090
508.6266,0.9203,0.2884,0.0054,0.4939,0.5716,0.7995,0.0108,0.0273,0.1057
545.7619,0.8535,0.2808,0.0097,0.4615,0.5731,0.6914,0.0021,0.0938,0.0001
572.4134,0.7019,0.1413,0.0015,0.4727,0.5696,0.7551,0.0100,0.0664,0.0323
562.7754,0.5695,0.1647,0.0047,0.4963,0.5759,0.6933,0.0043,0.1147,0.0414
580.4553,0.7174,0.2912,0.0065,0.4613,0.5653,0.7342,0.0078,0.0770,0.0145
532.7659,0.7815,0.2831,0.0085,0.4934,0.5638,0.7564,0.0191,0.0081,0.0750
519.4916,0.9178,0.1837,0.0144,0.4504,0.5858,0.7186,0.0019,0.0541,0.0247
512.2085,0.6212,0.2008,0.0096,0.4987,0.5565,0.7869,0.0119,0.1030,0.0241
537.0868,0.7216,0.2840,0.0026,0.4823,0.5929,0.5422,0.0006,0.0150,0.1235
549.3510,0.5564,0.1771,0.0055,0.4683,0.5589,0.7036,0.0007,0.0196,0.0897
572.3891,0.5953,0.2082,0.0190,0.4890,0.5458,0.7216,0.0055,0.0395,0.0384
489.8504,0.8900,0.2150,0.0034,0.4750,0.5814,0.7046,0.0068,0.0365,0.1203
523.6647,0.6637,0.2243,0.0127,0.4752,0.5579,0.7241,0.0037,0.0171,0.0818
588.9251,0.7749,0.2162,0.0023,0.4450,0.5555,0.7663,0.0150,0.0865,0.0177
598.0838,0.7095,0.2463,0.0276,0.4651,0.5946,0.7907,0.0085,0.0478,0.0388
583.2531,0.8023,0.2116,0.0064,0.4834,0.5754,0.7966,0.0047,0.1632,0.0677
463.0387,0.8502,0.1637,0.0119,0.4983,0.5876,0.7908,0.0001,0.1352,0.0150
589.5270,0.8963,0.2577,0.0030,0.4808,0.5417,0.6057,0.0059,0.0604,0.0658
593.9882,0.5493,0.2383,0.0052,0.4875,0.5316,0.7723,0.0140,0.0427,0.0697
589.1271,0.9127,0.2566,0.0070,0.4181,0.5967,0.7163,0.0106,0.0136,0.0635
497.3477,0.6943,0.1699,0.0031,0.4236,0.5986,0.6820,0.0110,0.0426,0.0024
521.8115,0.9808,0.1510,0.0100,0.4854,0.5984,0.6052,0.0044,0.0161,0.0694
597.6190,0.8696,0.1741,0.0050,0.4533,0.5931,0.6357,0.0131,0.0874,0.0244
476.7495,0.5676,0.2819,0.0023,0.4638,0.5848,0.7892,0.0034,0.0782,0.0108
571.5340,0.6742,0.2514,0.0123,0.4811,0.5964,0.5705,0.0040,0.0401,0.0897
545.9926,0.6713,0.1963,0.0111,0.4250,0.5479,0.7760,0.0027,0.0215,0.0206
456.1646,0.7504,0.2001,0.0036,0.4659,0.5940,0.7580,0.0056,0.0231,0.1306
574.9990,0.6014,0.2024,0.0040,0.4813,0.5296,0.6775,0.0086,0.0517,0.0455
554.7934,0.8668,0.2363,0.0014,0.4947,0.5970,0.5460,0.0149,0.1698,0.0199
465.1954,0.9381,0.2676,0.0028,0.4597,0.5823,0.4751,0.0020,0.0004,0.0274
584.7860,0.9536,0.1832,0.0042,0.4878,0.5476,0.6361,0.0119,0.0703,0.0482
482.7287,0.7006,0.2312,0.0141,0.4906,0.5731,0.7765,0.0007,0.0407,0.1007
579.7993,0.8825,0.1900,0.0020,0.4256,0.5870,0.7487,0.0072,0.0046,0.1204
480.3100,0.9739,0.1781,0.0127,0.4667,0.5394,0.7933,0.0049,0.0024,0.0228
561.1212,0.7181,0.2455,0.0013,0.4302,0.5751,0.4691,0.0004,0.0188,0.0142
524.6255,0.6521,0.1871,0.0218,0.4987,0.5175,0.7057,0.0006,0.0038,0.0175
548.3426,0.8190,0.1936,0.0074,0.4878,0.5866,0.6634,0.0186,0.0495,0.0824
419.9418,0.6404,0.2160,0.0085,0.4727,0.5930,0.7942,0.0075,0.0159,0.0733
535.7372,0.9757,0.2536,0.0035,0.4913,0.5898,0.6195,0.0033,0.1032,0.1125
