cross_section,eta_ch,Ti_init,tau_E_s,tau_ie_s,G,max_inst_Pfus_Pbrems,transient_window_s
wang,0.0,200,0.0100,0.608,0.00022,2.372,0.009
wang,0.0,200,0.0203,0.608,0.00044,2.372,0.018
wang,0.0,200,0.0412,0.608,0.00087,2.372,0.035
wang,0.0,200,0.0838,0.608,0.00168,2.372,0.067
wang,0.0,200,0.1701,0.608,0.00320,2.372,0.126
wang,0.0,200,0.3455,0.608,0.00594,2.372,0.233
wang,0.0,200,0.7017,0.608,0.01064,2.372,0.419
wang,0.0,200,1.4251,0.608,0.01829,2.372,0.731
wang,0.0,200,2.8943,0.608,0.02990,2.372,1.229
wang,0.0,200,5.8780,0.608,0.04589,2.372,1.969
wang,0.0,200,11.9378,0.608,0.06528,2.372,2.958
wang,0.0,200,24.2446,0.608,0.08510,2.372,4.078
wang,0.0,200,49.2388,0.608,0.10178,2.372,5.102
wang,0.0,200,100.0000,0.608,0.11343,2.372,5.858
wang,0.0,255,0.0100,0.871,0.00026,2.668,0.011
wang,0.0,255,0.0203,0.871,0.00053,2.668,0.022
wang,0.0,255,0.0412,0.871,0.00105,2.668,0.044
wang,0.0,255,0.0838,0.871,0.00206,2.668,0.086
wang,0.0,255,0.1701,0.871,0.00398,2.668,0.165
wang,0.0,255,0.3455,0.871,0.00751,2.668,0.311
wang,0.0,255,0.7017,0.871,0.01379,2.668,0.575
wang,0.0,255,1.4251,0.871,0.02450,2.668,1.040
wang,0.0,255,2.8943,0.871,0.04174,2.668,1.836
wang,0.0,255,5.8780,0.871,0.06742,2.668,3.136
wang,0.0,255,11.9378,0.871,0.10152,2.668,5.070
wang,0.0,255,24.2446,0.871,0.14003,2.668,7.517
wang,0.0,255,49.2388,0.871,0.17564,2.668,10.004
wang,0.0,255,100.0000,0.871,0.20252,2.668,12.021
wang,0.0,309,0.0100,1.163,0.00029,2.758,0.013
wang,0.0,309,0.0203,1.163,0.00058,2.758,0.026
wang,0.0,309,0.0412,1.163,0.00116,2.758,0.052
wang,0.0,309,0.0838,1.163,0.00228,2.758,0.102
wang,0.0,309,0.1701,1.163,0.00444,2.758,0.197
wang,0.0,309,0.3455,1.163,0.00847,2.758,0.376
wang,0.0,309,0.7017,1.163,0.01578,2.758,0.705
wang,0.0,309,1.4251,1.163,0.02856,2.758,1.303
wang,0.0,309,2.8943,1.163,0.04987,2.758,2.364
wang,0.0,309,5.8780,1.163,0.08296,2.758,4.182
wang,0.0,309,11.9378,1.163,0.12905,2.758,7.046
wang,0.0,309,24.2446,1.163,0.18371,2.758,10.919
wang,0.0,309,49.2388,1.163,0.23633,2.758,15.177
wang,0.0,309,100.0000,1.163,0.27702,2.758,18.900
wang,0.0,364,0.0100,1.480,0.00030,2.756,0.015
wang,0.0,364,0.0203,1.480,0.00061,2.751,0.030
