cross_section,chi_model,Ti_core,B_T,P_net_erg_s,Pnet_over_Pbrems,Ptransport_over_Pfus
wang,bohm,200,5.0,-2.1549e+15,-16725.2421,39364.05
wang,bohm,233,5.0,-2.9331e+15,-20300.4858,40363.25
wang,bohm,267,5.0,-3.8309e+15,-23883.7031,42526.50
wang,bohm,300,5.0,-4.8485e+15,-27441.0195,45501.34
wang,bohm,333,5.0,-5.9858e+15,-30947.3943,49106.34
wang,bohm,367,5.0,-7.2428e+15,-34384.5516,53238.73
wang,bohm,400,5.0,-8.6195e+15,-37739.4573,57835.06
wang,bohm,433,5.0,-1.0116e+16,-41003.1648,62852.89
wang,bohm,467,5.0,-1.1732e+16,-44169.9232,68261.62
wang,bohm,500,5.0,-1.3468e+16,-47236.4798,74037.68
wang,bohm,533,5.0,-1.5324e+16,-50201.5294,80161.93
wang,bohm,567,5.0,-1.7299e+16,-53065.2767,86618.12
wang,bohm,600,5.0,-1.9394e+16,-55829.0887,93392.15
wang,bohm,200,6.4,-1.6932e+15,-13141.3849,30928.90
wang,bohm,233,6.4,-2.3046e+15,-15950.4882,31713.98
wang,bohm,267,6.4,-3.0100e+15,-18765.8606,33413.68
wang,bohm,300,6.4,-3.8095e+15,-21560.8861,35751.05
wang,bohm,333,6.4,-4.7031e+15,-24315.8890,38583.55
wang,bohm,367,6.4,-5.6908e+15,-27016.5093,41830.43
wang,bohm,400,6.4,-6.7725e+15,-29652.5052,45441.83
wang,bohm,433,6.4,-7.9483e+15,-32216.8468,49384.41
wang,bohm,467,6.4,-9.2181e+15,-34705.0153,53634.13
wang,bohm,500,6.4,-1.0582e+16,-37114.4546,58172.47
wang,bohm,533,6.4,-1.2040e+16,-39444.1389,62984.37
wang,bohm,567,6.4,-1.3592e+16,-41694.2290,68057.09
wang,bohm,600,6.4,-1.5238e+16,-43865.7987,73379.55
wang,bohm,200,7.7,-1.3944e+15,-10822.4185,25470.86
wang,bohm,233,7.7,-1.8979e+15,-13135.7839,26117.39
wang,bohm,267,7.7,-2.4789e+15,-15454.3155,27517.15
wang,bohm,300,7.7,-3.1373e+15,-17756.0939,29442.04
wang,bohm,333,7.7,-3.8732e+15,-20024.9150,31774.69
wang,bohm,367,7.7,-4.6865e+15,-22248.9525,34448.59
wang,bohm,400,7.7,-5.5774e+15,-24419.7715,37422.69
wang,bohm,433,7.7,-6.5456e+15,-26531.5822,40669.52
wang,bohm,467,7.7,-7.5914e+15,-28580.6631,44169.28
wang,bohm,500,7.7,-8.7146e+15,-30564.9088,47906.74
wang,bohm,533,7.7,-9.9153e+15,-32483.4745,51869.48
wang,bohm,567,7.7,-1.1193e+16,-34336.4922,56047.02
