cross_section,n_alpha_over_ne,F_scale,p,peak_PF_PB,peak_Ti_keV,ignition
TB,0.01000,0.5000,0.00500,1.14127,380.0,1
TB,0.01310,0.5000,0.00655,1.14983,380.0,1
TB,0.01621,0.5000,0.00810,1.15818,380.0,1
TB,0.01931,0.5000,0.00966,1.16743,340.0,1
TB,0.02241,0.5000,0.01121,1.17754,340.0,1
TB,0.02552,0.5000,0.01276,1.18731,340.0,1
TB,0.02862,0.5000,0.01431,1.19679,340.0,1
TB,0.03172,0.5000,0.01586,1.20604,340.0,1
TB,0.03483,0.5000,0.01741,1.21748,300.0,1
TB,0.03793,0.5000,0.01897,1.22875,300.0,1
TB,0.04103,0.5000,0.02052,1.23976,300.0,1
TB,0.04414,0.5000,0.02207,1.25037,300.0,1
TB,0.04724,0.5000,0.02362,1.26070,300.0,1
TB,0.05034,0.5000,0.02517,1.27296,260.0,1
TB,0.05345,0.5000,0.02672,1.28566,260.0,1
TB,0.05655,0.5000,0.02828,1.29835,260.0,1
TB,0.05966,0.5000,0.02983,1.31062,260.0,1
TB,0.06276,0.5000,0.03138,1.32228,260.0,1
TB,0.06586,0.5000,0.03293,1.33395,260.0,1
TB,0.06897,0.5000,0.03448,1.34892,220.0,1
TB,0.07207,0.5000,0.03603,1.36333,220.0,1
TB,0.07517,0.5000,0.03759,1.37774,220.0,1
TB,0.07828,0.5000,0.03914,1.39214,220.0,1
TB,0.08138,0.5000,0.04069,1.40611,220.0,1
TB,0.08448,0.5000,0.04224,1.41905,220.0,1
TB,0.08759,0.5000,0.04379,1.43200,220.0,1
TB,0.09069,0.5000,0.04534,1.44929,180.0,1
TB,0.09379,0.5000,0.04690,1.46745,180.0,1
TB,0.09690,0.5000,0.04845,1.48406,180.0,1
TB,0.10000,0.5000,0.05000,1.50027,180.0,1
TB,0.01000,0.5517,0.00552,1.14414,380.0,1
TB,0.01310,0.5517,0.00723,1.15350,380.0,1
TB,0.01621,0.5517,0.00894,1.16266,340.0,1
TB,0.01931,0.5517,0.01065,1.17394,340.0,1
TB,0.02241,0.5517,0.01237,1.18484,340.0,1
TB,0.02552,0.5517,0.01408,1.19538,340.0,1
TB,0.02862,0.5517,0.01579,1.20563,340.0,1
TB,0.03172,0.5517,0.01750,1.21815,300.0,1
TB,0.03483,0.5517,0.01922,1.23052,300.0,1
TB,0.03793,0.5517,0.02093,1.24267,300.0,1
