tau,p,peak_PF_PB,ignition
0.3000,0.00000,1.09580,1
0.3000,0.00010,1.09659,1
0.3000,0.00018,1.09721,1
0.3000,0.00032,1.09831,1
0.3000,0.00056,1.10025,1
0.3000,0.00100,1.10369,1
0.3000,0.00178,1.10974,1
0.3000,0.00316,1.12029,1
0.3000,0.00562,1.13844,1
0.3000,0.01000,1.17641,1
0.3000,0.01778,1.24356,1
0.3000,0.03162,1.35855,1
0.3000,0.05623,1.56409,1
0.3000,0.10000,1.93358,1
0.3700,0.00000,0.95663,0
0.3700,0.00010,0.95756,0
0.3700,0.00018,0.95828,0
0.3700,0.00032,0.95956,0
0.3700,0.00056,0.96182,0
0.3700,0.00100,0.96582,0
0.3700,0.00178,0.97286,0
0.3700,0.00316,0.98515,0
0.3700,0.00562,1.00633,1
0.3700,0.01000,1.04190,1
0.3700,0.01778,1.11438,1
0.3700,0.03162,1.23482,1
0.3700,0.05623,1.46635,1
0.3700,0.10000,1.87055,1
0.4400,0.00000,0.84647,0
0.4400,0.00010,0.84728,0
0.4400,0.00018,0.84790,0
0.4400,0.00032,0.84901,0
0.4400,0.00056,0.85098,0
0.4400,0.00100,0.85447,0
0.4400,0.00178,0.86060,0
0.4400,0.00316,0.87132,0
0.4400,0.00562,0.89475,0
0.4400,0.01000,0.93838,0
0.4400,0.01778,1.00900,1
0.4400,0.03162,1.14696,1
0.4400,0.05623,1.39261,1
0.4400,0.10000,1.77007,1
0.5100,0.00000,0.75527,0
0.5100,0.00010,0.75627,0
0.5100,0.00018,0.75705,0
0.5100,0.00032,0.75843,0
0.5100,0.00056,0.76089,0
0.5100,0.00100,0.76523,0
0.5100,0.00178,0.77289,0
0.5100,0.00316,0.78629,0
0.5100,0.00562,0.80946,0
0.5100,0.01000,0.84860,0
0.5100,0.01778,0.92262,0
0.5100,0.03162,1.06171,1
0.5100,0.05623,1.32627,1
0.5100,0.10000,1.65992,1
0.5800,0.00000,0.68349,0
0.5800,0.00010,0.68440,0
0.5800,0.00018,0.68510,0
0.5800,0.00032,0.68635,0
0.5800,0.00056,0.68856,0
0.5800,0.00100,0.69249,0
0.5800,0.00178,0.69940,0
0.5800,0.00316,0.71151,0
0.5800,0.00562,0.73246,0
0.5800,0.01000,0.76990,0
0.5800,0.01778,0.85336,0
0.5800,0.03162,0.98909,0
0.5800,0.05623,1.25319,1
0.5800,0.10000,1.55085,1
0.6500,0.00000,0.61953,0
0.6500,0.00010,0.62036,0
0.6500,0.00018,0.62099,0
0.6500,0.00032,0.62213,0
0.6500,0.00056,0.62414,0
0.6500,0.00100,0.62770,0
0.6500,0.00178,0.63398,0
0.6500,0.00316,0.64499,0
0.6500,0.00562,0.66462,0
0.6500,0.01000,0.71150,0
0.6500,0.01778,0.78838,0
0.6500,0.03162,0.93668,0
0.6500,0.05623,1.17957,1
0.6500,0.10000,1.44711,1
0.7200,0.00000,0.56297,0
0.7200,0.00010,0.56372,0
0.7200,0.00018,0.56431,0
0.7200,0.00032,0.56534,0
0.7200,0.00056,0.56718,0
0.7200,0.00100,0.57043,0
0.7200,0.00178,0.57617,0
0.7200,0.00316,0.58873,0
0.7200,0.00562,0.61413,0
0.7200,0.01000,0.65751,0
0.7200,0.01778,0.72861,0
0.7200,0.03162,0.88429,0
0.7200,0.05623,1.10831,1
0.7200,0.10000,1.35033,1
0.7900,0.00000,0.51317,0
0.7900,0.00010,0.51417,0
0.7900,0.00018,0.51495,0
0.7900,0.00032,0.51633,0
0.7900,0.00056,0.51879,0
0.7900,0.00100,0.52314,0
0.7900,0.00178,0.53082,0
0.7900,0.00316,0.54435,0
0.7900,0.00562,0.56791,0
0.7900,0.01000,0.60818,0
0.7900,0.01778,0.67933,0
0.7900,0.03162,0.83356,0
0.7900,0.05623,1.04074,1
0.7900,0.10000,1.26090,1
0.8600,0.00000,0.47500,0
0.8600,0.00010,0.47593,0
0.8600,0.00018,0.47665,0
0.8600,0.00032,0.47793,0
0.8600,0.00056,0.48021,0
0.8600,0.00100,0.48425,0
0.8600,0.00178,0.49139,0
0.8600,0.00316,0.50396,0
0.8600,0.00562,0.52588,0
0.8600,0.01000,0.56336,0
0.8600,0.01778,0.64062,0
0.8600,0.03162,0.78530,0
0.8600,0.05623,0.97740,0
0.8600,0.10000,1.17868,1
0.9300,0.00000,0.44036,0
0.9300,0.00010,0.44122,0
0.9300,0.00018,0.44189,0
0.9300,0.00032,0.44309,0
0.9300,0.00056,0.44521,0
0.9300,0.00100,0.44897,0
0.9300,0.00178,0.45562,0
0.9300,0.00316,0.46733,0
0.9300,0.00562,0.48777,0
0.9300,0.01000,0.52273,0
0.9300,0.01778,0.60398,0
0.9300,0.03162,0.73986,0
0.9300,0.05623,0.91841,0
0.9300,0.10000,1.10325,1
1.0000,0.00000,0.40897,0
1.0000,0.00010,0.40978,0
1.0000,0.00018,0.41041,0
1.0000,0.00032,0.41152,0
1.0000,0.00056,0.41350,0
1.0000,0.00100,0.41701,0
1.0000,0.00178,0.42321,0
1.0000,0.00316,0.43415,0
1.0000,0.00562,0.45324,0
1.0000,0.01000,0.48722,0
1.0000,0.01778,0.56957,0
1.0000,0.03162,0.69733,0
1.0000,0.05623,0.86368,0
1.0000,0.10000,1.03411,1
